,user_id,verb_bought,verb_cancelled,verb_ordered,verb_paid,verb_returned,verb_sold,object_accessory,object_book,object_laptop,object_phone,object_product,object_service,mask_time,mask_amount,unix_time_norm,amount_norm
0,40578,True,False,False,False,False,False,False,True,False,False,False,False,1,1,0.9914704604746314,0.6524652465246525
1,94768,False,False,False,True,False,False,False,False,True,False,False,False,1,0,0.9910852554638082,0.0
2,65142,False,False,False,True,False,False,False,False,False,False,False,True,1,0,0.9920443373274902,0.0
3,10499,False,False,False,False,True,False,False,True,False,False,False,False,1,0,0.9941590342236415,0.0
4,89538,False,False,True,False,False,False,False,False,False,True,False,False,1,1,0.998655713125495,0.894989498949895
5,91971,False,False,True,False,False,False,False,False,False,False,True,False,1,1,0.9968711919529063,0.8816881688168818
6,49442,False,False,False,False,False,True,False,False,False,False,True,False,1,1,0.9915805190491522,0.7977797779777979
7,14127,False,False,False,True,False,False,False,False,False,False,False,True,1,1,0.9908651383147664,0.9766976697669768
8,47165,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0
9,65508,False,False,False,False,True,False,False,False,True,False,False,False,1,1,0.9910695328103052,0.2304230423042305
10,72930,False,True,False,False,False,False,False,False,False,False,True,False,1,1,0.9887032734581062,0.8854885488548856
11,51361,False,False,True,False,False,False,False,False,False,False,True,False,1,1,0.9924059583580589,0.7634763476347636
12,57546,False,False,True,False,False,False,True,False,False,False,False,False,1,1,0.9996462402961829,0.8733873387338735
13,88529,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0.995605518345916,0.7373737373737375
14,65850,False,False,False,True,False,False,False,False,False,False,True,False,1,0,0.9945206552542102,0.0
15,97653,False,False,False,True,False,False,False,True,False,False,False,False,1,1,0.996658936130616,0.956895689568957
16,93011,False,False,False,True,False,False,False,True,False,False,False,False,1,1,0.9989465822153001,0.8652865286528654
17,17930,True,False,False,False,False,False,True,False,False,False,False,False,0,0,0.0,0.0
18,38510,False,False,False,False,False,True,False,True,False,False,False,False,1,0,0.9968004400121429,0.0
19,31258,True,False,False,False,False,False,False,False,False,True,False,False,1,0,0.9909123062752754,0.0
20,4901,True,False,False,False,False,False,False,True,False,False,False,False,1,1,0.9901261736001262,0.9832983298329834
21,39187,False,True,False,False,False,False,True,False,False,False,False,False,1,1,0.9922094251892716,0.8700870087008702
22,22065,False,False,False,True,False,False,False,True,False,False,False,False,1,1,0.9994654297808986,0.5323532353235324
23,93912,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.991289649959347,0.0
24,17711,True,False,False,False,False,False,False,False,False,True,False,False,1,0,0.9892535663307106,0.0
25,64820,False,False,False,True,False,False,False,True,False,False,False,False,1,1,0.9929876965376693,0.8613861386138615
26,78809,False,False,False,False,True,False,True,False,False,False,False,False,1,0,0.9896073260345277,0.0
27,84110,False,False,False,False,False,True,False,False,False,False,True,False,1,1,0.9934908214497647,0.7072707270727073
28,91278,False,False,True,False,False,False,False,False,False,False,True,False,1,1,0.9950709481268146,0.7131713171317132
29,15818,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0.9936873546185521,0.9919991999199921
30,27433,False,False,False,True,False,False,False,False,False,False,False,True,1,0,0.996132227238266,0.0
31,68386,False,False,False,False,False,True,True,False,False,False,False,False,1,1,0.9896151873612793,0.9294929492949295
32,2283,False,False,False,True,False,False,False,False,False,False,False,True,1,0,0.9959121100892242,0.0
33,8451,False,False,False,False,False,True,False,False,False,False,True,False,1,1,0.9921308119217567,0.8927892789278928
34,28259,True,False,False,False,False,False,True,False,False,False,False,False,1,1,0.9993475098796262,0.95989598959896
35,99562,False,False,False,False,False,True,False,False,True,False,False,False,1,1,0.9915333510886433,0.6694669466946696
36,15977,False,False,False,False,True,False,False,False,False,False,False,True,1,0,0.9903698747294225,0.0
37,79306,False,False,False,False,True,False,True,False,False,False,False,False,0,1,0.0,0.48434843484348444
38,46523,False,False,False,False,False,True,True,False,False,False,False,False,1,1,0.9996698242764374,0.8920892089208922
39,89903,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0.9932942882809774,0.0
40,8533,False,False,False,False,True,False,False,False,True,False,False,False,0,1,0.0,0.05760576057605765
41,12791,False,False,True,False,False,False,True,False,False,False,False,False,1,0,0.9916748549701702,0.0
42,6320,False,True,False,False,False,False,False,False,False,True,False,False,1,0,0.993223536340214,0.0
43,83264,False,False,False,True,False,False,False,False,True,False,False,False,1,0,0.9971699223694629,0.0
44,64555,False,True,False,False,False,False,True,False,False,False,False,False,1,1,0.9984041506694472,0.9901990199019903
45,65923,False,True,False,False,False,False,False,False,False,False,False,True,0,1,0.0,0.8142814281428143
46,12018,False,True,False,False,False,False,True,False,False,False,False,False,1,0,0.9970991704286996,0.0
47,89262,False,True,False,False,False,False,False,False,True,False,False,False,1,1,0.9937974131930729,0.6448644864486449
48,94854,False,False,False,False,True,False,False,False,True,False,False,False,1,0,0.9928619153096454,0.0
49,98038,False,False,False,False,True,False,True,False,False,False,False,False,1,1,0.994740772403252,0.20312031203120318
50,55050,False,True,False,False,False,False,True,False,False,False,False,False,1,0,0.9928619153096454,0.0
51,36175,False,False,False,False,True,False,False,False,False,False,False,True,1,1,0.9947014657694945,0.3971397139713972
52,29170,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.9921858412090171,0.0
53,4592,True,False,False,False,False,False,False,False,False,True,False,False,1,1,0.99805039096563,0.5497549754975498
54,5942,False,False,True,False,False,False,True,False,False,False,False,False,1,1,0.996179395198775,0.8880888088808881
55,87703,False,True,False,False,False,False,False,False,False,False,False,True,1,1,0.9930505871516813,0.9255925592559257
56,65150,False,False,False,False,True,False,False,False,True,False,False,False,1,1,0.9958570808019638,0.4376437643764377
57,67505,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0.989851027163824,0.0
58,27533,False,False,True,False,False,False,False,False,True,False,False,False,1,0,0.9910695328103052,0.0
59,18714,True,False,False,False,False,False,True,False,False,False,False,False,1,1,0.9908965836217725,0.8820882088208821
60,15055,False,False,False,True,False,False,False,False,True,False,False,False,1,1,0.9891749530631957,0.9303930393039305
61,71599,False,True,False,False,False,False,False,False,False,False,False,True,1,1,0.9933729015484923,0.9611961196119613
62,40406,True,False,False,False,False,False,True,False,False,False,False,False,1,1,0.9959592780497332,0.823982398239824
63,16321,False,False,False,False,True,False,False,False,True,False,False,False,1,1,0.9976966312618128,0.07760776077607767
64,99698,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0.9954168465038802,0.0
65,43193,True,False,False,False,False,False,False,False,True,False,False,False,0,1,0.0,0.7902790279027904
66,39839,False,True,False,False,False,False,False,True,False,False,False,False,0,1,0.0,0.7355735573557356
67,31603,False,False,True,False,False,False,False,False,False,False,False,True,1,1,0.9920364760007387,0.7593759375937594
68,37560,True,False,False,False,False,False,False,False,False,False,False,True,1,1,0.9920443373274902,0.8035803580358036
69,26080,False,False,False,True,False,False,False,True,False,False,False,False,0,1,0.0,0.7666766676667667
70,36327,False,False,True,False,False,False,False,False,True,False,False,False,0,1,0.0,0.7526752675267527
71,54369,False,False,True,False,False,False,False,False,False,False,False,True,1,0,0.9977280765688188,0.0
72,52687,False,False,True,False,False,False,False,False,False,True,False,False,1,1,0.9898903337975815,0.9675967596759677
73,51158,False,False,True,False,False,False,True,False,False,False,False,False,0,1,0.0,0.7373737373737375
74,55195,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0.9910223648497963,0.0
75,5301,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0.9987500490465128,0.0
76,50589,False,False,False,False,True,False,False,False,False,False,False,True,1,1,0.9954875984446436,0.07910791079107915
77,98512,False,True,False,False,False,False,False,False,True,False,False,False,1,1,0.9991666993643419,0.7283728372837285
78,56190,False,False,False,False,False,True,False,True,False,False,False,False,0,1,0.0,0.8409840984098411
79,6110,False,False,False,False,False,True,False,False,True,False,False,False,0,1,0.0,0.8056805680568058
80,3565,False,False,False,False,True,False,False,False,False,True,False,False,1,1,0.9943005381051684,0.22522252225222528
81,17655,False,False,False,False,True,False,True,False,False,False,False,False,0,1,0.0,0.3905390539053906
82,8522,False,False,False,False,True,False,False,True,False,False,False,False,1,0,0.9949530282255422,0.0
83,27817,False,True,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0.0
84,29006,False,False,True,False,False,False,False,False,True,False,False,False,1,1,0.9985535158777255,0.7053705370537054
85,87592,True,False,False,False,False,False,False,False,False,True,False,False,1,1,0.9964309576548227,0.9337933793379338
86,83089,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0.9950316414930571,0.0
87,14827,False,False,False,True,False,False,False,False,False,False,False,True,1,1,0.9891513690829412,0.6546654665466547
88,43390,True,False,False,False,False,False,False,False,True,False,False,False,1,0,0.9944813486204527,0.0
89,32770,False,False,True,False,False,False,False,True,False,False,False,False,0,1,0.0,0.6035603560356037
90,25482,False,True,False,False,False,False,False,True,False,False,False,False,1,0,0.9962029791790294,0.0
